,Age,counts
0,1,11
1,10,6
2,11,6
3,12,7
4,13,10
5,14,26
6,15,52
7,16,78
8,17,119
9,18,181
10,19,168
11,2,8
12,20,170
13,21,197
14,22,202
15,23,247
16,24,275
17,25,300
18,26,251
19,27,269
20,28,269
21,29,266
22,3,7
23,30,258
24,31,263
25,32,269
26,33,298
27,34,268
28,35,244
29,36,260
30,37,237
31,38,220
32,39,203
33,4,5
34,40,197
35,41,176
36,42,168
37,43,172
38,44,133
39,45,165
40,46,147
41,47,147
42,48,141
43,49,129
44,5,4
45,50,140
46,51,130
47,52,102
48,53,98
49,54,99
50,55,103
51,56,106
52,57,92
53,58,89
54,59,87
55,6,8
56,60,51
57,61,67
58,62,65
59,63,47
60,64,39
61,65,46
62,66,38
63,67,29
64,68,27
65,69,32
66,7,4
67,70,18
68,71,20
69,72,17
70,73,15
71,74,14
72,75,8
73,76,17
74,77,14
75,78,6
76,79,2
77,8,4
78,80,6
79,81,3
80,82,5
81,83,6
82,84,8
83,85,1
84,86,5
85,87,4
86,88,4
87,89,3
88,9,6
89,91,4
90,92,1
